application/javascript hits=3;bytes=236651
application/json hits=14;bytes=117718
application/json+protobuf hits=1;bytes=811
application/octet-stream hits=1;bytes=12793
image/gif hits=30;bytes=35508
image/png hits=3;bytes=3184
image/webp hits=10;bytes=224706
none hits=2;bytes=3705
text/css hits=1;bytes=1430
text/html hits=5;bytes=151378
text/javascript hits=15;bytes=898457
text/plain hits=8;bytes=102092
